timestamps,actual,predict
2022-11-03,10.0,10.0
2022-11-04,30.0,30.0
2022-11-05,7.0,7.0
2022-11-06,6.0,6.0
2022-11-07,13.0,13.0
2022-11-08,4.0,4.0
2022-11-09,7.0,7.0
2022-11-10,15.0,15.0
2022-11-11,9.0,9.0
2022-11-12,19.0,19.0
2022-11-13,8.0,8.0
2022-11-14,6.0,6.0
2022-11-15,17.0,17.0
2022-11-16,39.0,39.0
2022-11-17,21.0,21.0
2022-11-18,12.0,12.0
2022-11-19,12.0,12.0
2022-11-20,22.0,22.0
2022-11-21,15.0,15.0
2022-11-22,6.0,6.0
2022-11-23,8.0,8.0
2022-11-24,5.0,5.0
2022-11-25,9.0,9.0
2022-11-26,3.0,3.0
2022-11-27,6.0,6.0
2022-11-28,3.0,3.0
2022-11-29,5.0,5.0
2022-11-30,22.0,22.0
2022-12-01,9.0,9.0
2022-12-02,5.0,5.0
2022-12-03,4.0,4.0
2022-12-04,5.0,5.0
2022-12-05,38.0,38.0
2022-12-06,5.0,5.0
2022-12-07,4.0,4.0
2022-12-08,25.0,25.0
2022-12-09,5.0,5.0
2022-12-10,5.0,5.0
2022-12-11,1.0,1.0
2022-12-12,6.0,6.0
2022-12-13,2.0,2.0
2022-12-14,4.0,4.0
2022-12-15,4.0,4.0
2022-12-16,5.0,5.0
2022-12-17,11.0,11.0
2022-12-18,7.0,7.0
2022-12-19,11.0,11.0
2022-12-20,6.0,6.0
2022-12-21,5.0,5.0
2022-12-22,7.0,7.0
2022-12-23,7.0,7.0
2022-12-24,4.0,4.0
2022-12-25,4.0,4.0
2022-12-26,1.0,1.0
2022-12-27,4.0,4.0
2022-12-28,3.0,3.0
2022-12-29,4.0,3.637
2022-12-30,7.0,4.197
2022-12-31,4.0,3.637
2023-01-01,10.0,4.769
2023-01-02,2.0,3.278
2023-01-03,19.0,6.602
2023-01-04,7.0,4.197
2023-01-05,3.0,3.458
2023-01-06,2.0,3.278
2023-01-07,5.0,3.818
2023-01-08,9.0,4.578
2023-01-09,6.0,4.007
2023-01-10,2.0,3.278
2023-01-11,6.0,4.007
2023-01-12,1.0,3.1
2023-01-13,34.0,10.396
2023-01-14,2.0,3.278
2023-01-15,13.0,5.345
2023-01-16,4.0,3.637
2023-01-17,15.0,5.752
2023-01-18,4.0,3.637
2023-01-19,3.0,3.458
2023-01-20,4.0,3.637
2023-01-21,2.0,3.278
2023-01-22,14.0,5.544
2023-01-23,4.0,3.637
2023-01-24,3.0,3.458
2023-01-25,5.0,3.818
