timestamps,actual,predict
2024-03-23,1.0,1.0
2024-03-24,7.0,7.0
2024-03-25,4.0,4.0
2024-03-26,6.0,6.0
2024-03-27,4.0,4.0
2024-03-28,1.0,1.0
2024-03-29,4.0,4.0
2024-03-30,2.0,2.0
2024-03-31,6.0,6.0
2024-04-01,3.0,3.0
2024-04-02,1.0,1.0
2024-04-03,3.0,3.0
2024-04-04,2.0,2.0
2024-04-05,1.0,1.0
2024-04-06,10.0,10.0
2024-04-07,9.0,9.0
2024-04-08,6.0,6.0
2024-04-09,8.0,8.0
2024-04-10,4.0,4.0
2024-04-11,1.0,1.0
2024-04-12,6.0,6.0
2024-04-13,2.0,2.0
2024-04-14,2.0,2.0
2024-04-15,4.0,4.0
2024-04-16,4.0,4.0
2024-04-17,8.0,8.0
2024-04-18,16.0,16.0
2024-04-19,6.0,6.0
2024-04-20,4.0,4.0
2024-04-21,4.0,4.0
2024-04-22,3.0,3.0
2024-04-23,5.0,5.0
2024-04-24,3.0,3.0
2024-04-25,2.0,2.0
2024-04-26,5.0,5.0
2024-04-27,4.0,4.0
2024-04-28,1.0,1.0
2024-04-29,3.0,3.0
2024-04-30,2.0,2.0
2024-05-01,2.0,2.0
2024-05-02,7.0,7.0
2024-05-03,5.0,5.0
2024-05-04,3.0,3.0
2024-05-05,0.0,0.0
2024-05-06,5.0,5.0
2024-05-07,9.0,9.0
2024-05-08,11.0,11.0
2024-05-09,6.0,6.0
2024-05-10,9.0,9.0
2024-05-11,8.0,8.0
2024-05-12,5.0,5.0
2024-05-13,4.0,4.0
2024-05-14,3.0,3.0
2024-05-15,2.0,2.0
2024-05-16,2.0,2.0
2024-05-17,3.0,3.0
2024-05-18,0.0,3.089
2024-05-19,2.0,3.49
2024-05-20,5.0,4.095
2024-05-21,5.0,4.095
2024-05-22,1.0,3.29
2024-05-23,7.0,4.5
2024-05-24,1.0,3.29
2024-05-25,1.0,3.29
2024-05-26,1.0,3.29
2024-05-27,1.0,3.29
2024-05-28,2.0,3.49
2024-05-29,81.0,34.098
2024-05-30,5.0,4.095
2024-05-31,2.0,3.49
2024-06-01,1.0,3.29
2024-06-02,7.0,4.5
2024-06-03,6.0,4.297
2024-06-04,10.0,5.11
2024-06-05,3.0,3.692
2024-06-06,7.0,4.5
2024-06-07,4.0,3.893
2024-06-08,2.0,3.49
2024-06-09,2.0,3.49
2024-06-10,2.0,3.49
2024-06-11,3.0,3.692
2024-06-12,2.0,3.49
2024-06-13,6.0,4.297
2024-06-14,0.0,3.089
