timestamps,actual,predict
2023-03-19,3.0,3.0
2023-03-20,12.0,12.0
2023-03-21,3.0,3.0
2023-03-22,10.0,10.0
2023-03-23,14.0,14.0
2023-03-24,7.0,7.0
2023-03-25,5.0,5.0
2023-03-26,7.0,7.0
2023-03-27,5.0,5.0
2023-03-28,9.0,9.0
2023-03-29,2.0,2.0
2023-03-30,4.0,4.0
2023-03-31,3.0,3.0
2023-04-01,3.0,3.0
2023-04-02,6.0,6.0
2023-04-03,7.0,7.0
2023-04-04,2.0,2.0
2023-04-05,11.0,11.0
2023-04-06,3.0,3.0
2023-04-07,36.0,36.0
2023-04-08,81.0,81.0
2023-04-09,6.0,6.0
2023-04-10,4.0,4.0
2023-04-11,3.0,3.0
2023-04-12,3.0,3.0
2023-04-13,6.0,6.0
2023-04-14,2.0,2.0
2023-04-15,7.0,7.0
2023-04-16,5.0,5.0
2023-04-17,3.0,3.0
2023-04-18,7.0,7.0
2023-04-19,5.0,5.0
2023-04-20,7.0,7.0
2023-04-21,2.0,2.0
2023-04-22,14.0,14.0
2023-04-23,2.0,2.0
2023-04-24,1.0,1.0
2023-04-25,4.0,4.0
2023-04-26,3.0,3.0
2023-04-27,7.0,7.0
2023-04-28,2.0,2.0
2023-04-29,1.0,1.0
2023-04-30,8.0,8.0
2023-05-01,3.0,3.0
2023-05-02,6.0,6.0
2023-05-03,4.0,4.0
2023-05-04,20.0,20.0
2023-05-05,7.0,7.0
2023-05-06,9.0,9.0
2023-05-07,5.0,5.0
2023-05-08,6.0,6.0
2023-05-09,9.0,9.0
2023-05-10,1.0,1.0
2023-05-11,7.0,7.0
2023-05-12,9.0,9.0
2023-05-13,2.0,2.0
2023-05-14,7.0,3.218
2023-05-15,5.0,2.88
2023-05-16,33.0,8.649
2023-05-17,2.0,2.374
2023-05-18,4.0,2.711
2023-05-19,10.0,3.727
2023-05-20,9.0,3.557
2023-05-21,0.0,2.041
2023-05-22,4.0,2.711
2023-05-23,2.0,2.374
2023-05-24,1.0,2.206
2023-05-25,12.0,4.068
2023-05-26,3.0,2.542
2023-05-27,4.0,2.711
2023-05-28,7.0,3.218
2023-05-29,2.0,2.374
2023-05-30,2.0,2.374
2023-05-31,5.0,2.88
2023-06-01,2.0,2.374
2023-06-02,8.0,3.387
2023-06-03,6.0,3.049
2023-06-04,4.0,2.711
2023-06-05,5.0,2.88
2023-06-06,3.0,2.542
2023-06-07,7.0,3.218
2023-06-08,4.0,2.711
2023-06-09,10.0,3.727
2023-06-10,3.0,2.542
