timestamps,actual,predict
2023-04-28,2.0,2.0
2023-04-29,1.0,1.0
2023-04-30,8.0,8.0
2023-05-01,3.0,3.0
2023-05-02,6.0,6.0
2023-05-03,4.0,4.0
2023-05-04,20.0,20.0
2023-05-05,7.0,7.0
2023-05-06,9.0,9.0
2023-05-07,5.0,5.0
2023-05-08,6.0,6.0
2023-05-09,9.0,9.0
2023-05-10,1.0,1.0
2023-05-11,7.0,7.0
2023-05-12,9.0,9.0
2023-05-13,2.0,2.0
2023-05-14,7.0,7.0
2023-05-15,5.0,5.0
2023-05-16,33.0,33.0
2023-05-17,2.0,2.0
2023-05-18,4.0,4.0
2023-05-19,10.0,10.0
2023-05-20,9.0,9.0
2023-05-21,0.0,0.0
2023-05-22,4.0,4.0
2023-05-23,2.0,2.0
2023-05-24,1.0,1.0
2023-05-25,12.0,12.0
2023-05-26,3.0,3.0
2023-05-27,4.0,4.0
2023-05-28,7.0,7.0
2023-05-29,2.0,2.0
2023-05-30,2.0,2.0
2023-05-31,5.0,5.0
2023-06-01,2.0,2.0
2023-06-02,8.0,8.0
2023-06-03,6.0,6.0
2023-06-04,4.0,4.0
2023-06-05,5.0,5.0
2023-06-06,3.0,3.0
2023-06-07,7.0,7.0
2023-06-08,4.0,4.0
2023-06-09,10.0,10.0
2023-06-10,3.0,3.0
2023-06-11,4.0,4.0
2023-06-12,8.0,8.0
2023-06-13,6.0,6.0
2023-06-14,12.0,12.0
2023-06-15,205.0,205.0
2023-06-16,4.0,4.0
2023-06-17,41.0,41.0
2023-06-18,4.0,4.0
2023-06-19,8.0,8.0
2023-06-20,6.0,6.0
2023-06-21,6.0,6.0
2023-06-22,17.0,17.0
2023-06-23,5.0,2.998
2023-06-24,10.0,3.77
2023-06-25,2.0,2.561
2023-06-26,3.0,2.702
2023-06-27,1.0,2.419
2023-06-28,6.0,3.146
2023-06-29,4.0,2.849
2023-06-30,6.0,3.146
2023-07-01,3.0,2.702
2023-07-02,9.0,3.607
2023-07-03,33.0,8.115
2023-07-04,13.0,4.264
2023-07-05,8.0,3.448
2023-07-06,11.0,3.934
2023-07-07,5.0,2.998
2023-07-08,2.0,2.561
2023-07-09,2.0,2.561
2023-07-10,2.0,2.561
2023-07-11,3.0,2.702
2023-07-12,7.0,3.297
2023-07-13,3.0,2.702
2023-07-14,3.0,2.702
2023-07-15,6.0,3.146
2023-07-16,1.0,2.419
2023-07-17,10.0,3.77
2023-07-18,3.0,2.702
2023-07-19,7.0,3.297
2023-07-20,0.0,2.278
