timestamps,actual,predict
2024-04-15,4.0,4.0
2024-04-16,4.0,4.0
2024-04-17,8.0,8.0
2024-04-18,16.0,16.0
2024-04-19,6.0,6.0
2024-04-20,4.0,4.0
2024-04-21,4.0,4.0
2024-04-22,3.0,3.0
2024-04-23,5.0,5.0
2024-04-24,3.0,3.0
2024-04-25,2.0,2.0
2024-04-26,5.0,5.0
2024-04-27,4.0,4.0
2024-04-28,1.0,1.0
2024-04-29,3.0,3.0
2024-04-30,2.0,2.0
2024-05-01,2.0,2.0
2024-05-02,7.0,7.0
2024-05-03,5.0,5.0
2024-05-04,3.0,3.0
2024-05-05,0.0,0.0
2024-05-06,5.0,5.0
2024-05-07,9.0,9.0
2024-05-08,11.0,11.0
2024-05-09,6.0,6.0
2024-05-10,9.0,9.0
2024-05-11,8.0,8.0
2024-05-12,5.0,5.0
2024-05-13,4.0,4.0
2024-05-14,3.0,3.0
2024-05-15,2.0,2.0
2024-05-16,2.0,2.0
2024-05-17,3.0,3.0
2024-05-18,0.0,0.0
2024-05-19,2.0,2.0
2024-05-20,5.0,5.0
2024-05-21,5.0,5.0
2024-05-22,1.0,1.0
2024-05-23,7.0,7.0
2024-05-24,1.0,1.0
2024-05-25,1.0,1.0
2024-05-26,1.0,1.0
2024-05-27,1.0,1.0
2024-05-28,2.0,2.0
2024-05-29,81.0,81.0
2024-05-30,5.0,5.0
2024-05-31,2.0,2.0
2024-06-01,1.0,1.0
2024-06-02,7.0,7.0
2024-06-03,6.0,6.0
2024-06-04,10.0,10.0
2024-06-05,3.0,3.0
2024-06-06,7.0,7.0
2024-06-07,4.0,4.0
2024-06-08,2.0,2.0
2024-06-09,2.0,2.0
2024-06-10,2.0,3.197
2024-06-11,3.0,3.377
2024-06-12,2.0,3.197
2024-06-13,6.0,3.921
2024-06-14,0.0,2.837
2024-06-15,4.0,3.558
2024-06-16,4.0,3.558
2024-06-17,3.0,3.377
2024-06-18,4.0,3.558
2024-06-19,3.0,3.377
2024-06-20,5.0,3.739
2024-06-21,3.0,3.377
2024-06-22,4.0,3.558
2024-06-23,3.0,3.377
2024-06-24,4.0,3.558
2024-06-25,2.0,3.197
2024-06-26,5.0,3.739
2024-06-27,6.0,3.921
2024-06-28,3.0,3.377
2024-06-29,8.0,4.285
2024-06-30,6.0,3.921
2024-07-01,7.0,4.103
2024-07-02,6.0,3.921
2024-07-03,4.0,3.558
2024-07-04,1.0,3.016
2024-07-05,1.0,3.016
2024-07-06,0.0,2.837
2024-07-07,1.0,3.016
