timestamps,actual,predict
2024-02-28,5.0,5.0
2024-02-29,8.0,8.0
2024-03-01,3.0,3.0
2024-03-02,4.0,4.0
2024-03-03,4.0,4.0
2024-03-04,6.0,6.0
2024-03-05,8.0,8.0
2024-03-06,7.0,7.0
2024-03-07,3.0,3.0
2024-03-08,8.0,8.0
2024-03-09,2.0,2.0
2024-03-10,5.0,5.0
2024-03-11,2.0,2.0
2024-03-12,8.0,8.0
2024-03-13,3.0,3.0
2024-03-14,8.0,8.0
2024-03-15,3.0,3.0
2024-03-16,2.0,2.0
2024-03-17,3.0,3.0
2024-03-18,6.0,6.0
2024-03-19,5.0,5.0
2024-03-20,2.0,2.0
2024-03-21,8.0,8.0
2024-03-22,2.0,2.0
2024-03-23,1.0,1.0
2024-03-24,7.0,7.0
2024-03-25,4.0,4.0
2024-03-26,6.0,6.0
2024-03-27,4.0,4.0
2024-03-28,1.0,1.0
2024-03-29,4.0,4.0
2024-03-30,2.0,2.0
2024-03-31,6.0,6.0
2024-04-01,3.0,3.0
2024-04-02,1.0,1.0
2024-04-03,3.0,3.0
2024-04-04,2.0,2.0
2024-04-05,1.0,1.0
2024-04-06,10.0,10.0
2024-04-07,9.0,9.0
2024-04-08,6.0,6.0
2024-04-09,8.0,8.0
2024-04-10,4.0,4.0
2024-04-11,1.0,1.0
2024-04-12,6.0,6.0
2024-04-13,2.0,2.0
2024-04-14,2.0,2.0
2024-04-15,4.0,4.0
2024-04-16,4.0,4.0
2024-04-17,8.0,8.0
2024-04-18,16.0,16.0
2024-04-19,6.0,6.0
2024-04-20,4.0,4.0
2024-04-21,4.0,4.0
2024-04-22,3.0,3.0
2024-04-23,5.0,5.0
2024-04-24,3.0,4.242
2024-04-25,2.0,4.092
2024-04-26,5.0,4.544
2024-04-27,4.0,4.393
2024-04-28,1.0,3.941
2024-04-29,3.0,4.242
2024-04-30,2.0,4.092
2024-05-01,2.0,4.092
2024-05-02,7.0,4.854
2024-05-03,5.0,4.544
2024-05-04,3.0,4.242
2024-05-05,0.0,3.798
2024-05-06,5.0,4.544
2024-05-07,9.0,5.191
2024-05-08,11.0,5.533
2024-05-09,6.0,4.695
2024-05-10,9.0,5.191
2024-05-11,8.0,5.022
2024-05-12,5.0,4.544
2024-05-13,4.0,4.393
2024-05-14,3.0,4.242
2024-05-15,2.0,4.092
2024-05-16,2.0,4.092
2024-05-17,3.0,4.242
2024-05-18,0.0,3.798
2024-05-19,2.0,4.092
2024-05-20,5.0,4.544
2024-05-21,5.0,4.544
