timestamps,actual,predict
2024-01-08,1.0,1.0
2024-01-09,5.0,5.0
2024-01-10,4.0,4.0
2024-01-11,2.0,2.0
2024-01-12,10.0,10.0
2024-01-13,5.0,5.0
2024-01-14,6.0,6.0
2024-01-15,5.0,5.0
2024-01-16,6.0,6.0
2024-01-17,6.0,6.0
2024-01-18,108.0,108.0
2024-01-19,1.0,1.0
2024-01-20,9.0,9.0
2024-01-21,8.0,8.0
2024-01-22,6.0,6.0
2024-01-23,6.0,6.0
2024-01-24,2.0,2.0
2024-01-25,4.0,4.0
2024-01-26,10.0,10.0
2024-01-27,2.0,2.0
2024-01-28,10.0,10.0
2024-01-29,13.0,13.0
2024-01-30,3.0,3.0
2024-01-31,3.0,3.0
2024-02-01,2.0,2.0
2024-02-02,2.0,2.0
2024-02-03,2.0,2.0
2024-02-04,11.0,11.0
2024-02-05,4.0,4.0
2024-02-06,2.0,2.0
2024-02-07,3.0,3.0
2024-02-08,4.0,4.0
2024-02-09,4.0,4.0
2024-02-10,4.0,4.0
2024-02-11,4.0,4.0
2024-02-12,1.0,1.0
2024-02-13,1.0,1.0
2024-02-14,5.0,5.0
2024-02-15,17.0,17.0
2024-02-16,2.0,2.0
2024-02-17,12.0,12.0
2024-02-18,7.0,7.0
2024-02-19,0.0,0.0
2024-02-20,8.0,8.0
2024-02-21,7.0,7.0
2024-02-22,18.0,18.0
2024-02-23,4.0,4.0
2024-02-24,6.0,6.0
2024-02-25,4.0,4.0
2024-02-26,9.0,9.0
2024-02-27,2.0,2.0
2024-02-28,5.0,5.0
2024-02-29,8.0,8.0
2024-03-01,3.0,3.0
2024-03-02,4.0,4.0
2024-03-03,4.0,4.0
2024-03-04,6.0,3.918
2024-03-05,8.0,4.235
2024-03-06,7.0,4.076
2024-03-07,3.0,3.446
2024-03-08,8.0,4.235
2024-03-09,2.0,3.29
2024-03-10,5.0,3.761
2024-03-11,2.0,3.29
2024-03-12,8.0,4.235
2024-03-13,3.0,3.446
2024-03-14,8.0,4.235
2024-03-15,3.0,3.446
2024-03-16,2.0,3.29
2024-03-17,3.0,3.446
2024-03-18,6.0,3.918
2024-03-19,5.0,3.761
2024-03-20,2.0,3.29
2024-03-21,8.0,4.235
2024-03-22,2.0,3.29
2024-03-23,1.0,3.133
2024-03-24,7.0,4.076
2024-03-25,4.0,3.603
2024-03-26,6.0,3.918
2024-03-27,4.0,3.603
2024-03-28,1.0,3.133
2024-03-29,4.0,3.603
2024-03-30,2.0,3.29
2024-03-31,6.0,3.918
