timestamps,actual,predict
2023-02-06,35.0,35.0
2023-02-07,24.0,24.0
2023-02-08,22.0,22.0
2023-02-09,21.0,21.0
2023-02-10,30.0,30.0
2023-02-11,46.0,46.0
2023-02-12,29.0,29.0
2023-02-13,25.0,25.0
2023-02-14,40.0,40.0
2023-02-15,24.0,24.0
2023-02-16,30.0,30.0
2023-02-17,22.0,22.0
2023-02-18,22.0,22.0
2023-02-19,19.0,19.0
2023-02-20,22.0,22.0
2023-02-21,25.0,25.0
2023-02-22,24.0,24.0
2023-02-23,28.0,28.0
2023-02-24,29.0,29.0
2023-02-25,32.0,32.0
2023-02-26,24.0,24.0
2023-02-27,32.0,32.0
2023-02-28,27.0,27.0
2023-03-01,29.0,29.0
2023-03-02,18.0,18.0
2023-03-03,34.0,34.0
2023-03-04,55.0,55.0
2023-03-05,71.0,71.0
2023-03-06,72.0,72.0
2023-03-07,87.0,87.0
2023-03-08,673.0,673.0
2023-03-09,37.0,37.0
2023-03-10,47.0,47.0
2023-03-11,60.0,60.0
2023-03-12,35.0,35.0
2023-03-13,30.0,30.0
2023-03-14,37.0,37.0
2023-03-15,31.0,31.0
2023-03-16,24.0,24.0
2023-03-17,24.0,24.0
2023-03-18,36.0,36.0
2023-03-19,29.0,29.0
2023-03-20,32.0,32.0
2023-03-21,29.0,29.0
2023-03-22,32.0,32.0
2023-03-23,33.0,33.0
2023-03-24,30.0,30.0
2023-03-25,21.0,21.0
2023-03-26,27.0,27.0
2023-03-27,29.0,29.0
2023-03-28,23.0,23.0
2023-03-29,27.0,27.0
2023-03-30,15.0,15.0
2023-03-31,25.0,25.0
2023-04-01,30.0,30.0
2023-04-02,24.0,24.0
2023-04-03,28.0,22.518
2023-04-04,24.0,21.427
2023-04-05,44.0,28.753
2023-04-06,24.0,21.427
2023-04-07,29.0,22.793
2023-04-08,33.0,23.993
2023-04-09,24.0,21.427
2023-04-10,23.0,21.176
2023-04-11,31.0,23.386
2023-04-12,19.0,20.265
2023-04-13,17.0,19.844
2023-04-14,44.0,28.753
2023-04-15,47.0,30.391
2023-04-16,30.0,23.089
2023-04-17,30.0,23.089
2023-04-18,34.0,24.301
2023-04-19,33.0,23.993
2023-04-20,26.0,21.97
2023-04-21,23.0,21.176
2023-04-22,29.0,22.793
2023-04-23,12.0,18.801
2023-04-24,19.0,20.265
2023-04-25,37.0,25.407
2023-04-26,33.0,23.993
2023-04-27,24.0,21.427
2023-04-28,26.0,21.97
2023-04-29,24.0,21.427
2023-04-30,21.0,20.718
