timestamps,actual,predict
2024-01-17,30.0,30.0
2024-01-18,35.0,35.0
2024-01-19,24.0,24.0
2024-01-20,47.0,47.0
2024-01-21,34.0,34.0
2024-01-22,28.0,28.0
2024-01-23,29.0,29.0
2024-01-24,33.0,33.0
2024-01-25,17.0,17.0
2024-01-26,30.0,30.0
2024-01-27,35.0,35.0
2024-01-28,14.0,14.0
2024-01-29,25.0,25.0
2024-01-30,20.0,20.0
2024-01-31,18.0,18.0
2024-02-01,22.0,22.0
2024-02-02,23.0,23.0
2024-02-03,24.0,24.0
2024-02-04,18.0,18.0
2024-02-05,22.0,22.0
2024-02-06,26.0,26.0
2024-02-07,21.0,21.0
2024-02-08,32.0,32.0
2024-02-09,25.0,25.0
2024-02-10,23.0,23.0
2024-02-11,40.0,40.0
2024-02-12,16.0,16.0
2024-02-13,25.0,25.0
2024-02-14,68.0,68.0
2024-02-15,80.0,80.0
2024-02-16,38.0,38.0
2024-02-17,37.0,37.0
2024-02-18,21.0,21.0
2024-02-19,24.0,24.0
2024-02-20,17.0,17.0
2024-02-21,29.0,29.0
2024-02-22,18.0,18.0
2024-02-23,21.0,21.0
2024-02-24,30.0,30.0
2024-02-25,20.0,20.0
2024-02-26,18.0,18.0
2024-02-27,44.0,44.0
2024-02-28,52.0,52.0
2024-02-29,36.0,36.0
2024-03-01,47.0,47.0
2024-03-02,46.0,46.0
2024-03-03,48.0,48.0
2024-03-04,31.0,31.0
2024-03-05,26.0,26.0
2024-03-06,28.0,28.0
2024-03-07,48.0,48.0
2024-03-08,642.0,642.0
2024-03-09,46.0,46.0
2024-03-10,27.0,27.0
2024-03-11,28.0,28.0
2024-03-12,22.0,22.0
2024-03-13,23.0,23.977
2024-03-14,46.0,32.296
2024-03-15,27.0,25.035
2024-03-16,26.0,24.77
2024-03-17,39.0,28.884
2024-03-18,29.0,25.58
2024-03-19,38.0,28.514
2024-03-20,21.0,23.453
2024-03-21,24.0,24.241
2024-03-22,33.0,26.771
2024-03-23,33.0,26.771
2024-03-24,35.0,27.412
2024-03-25,33.0,26.771
2024-03-26,31.0,26.174
2024-03-27,20.0,23.191
2024-03-28,16.0,22.197
2024-03-29,20.0,23.191
2024-03-30,18.0,22.684
2024-03-31,17.0,22.44
2024-04-01,18.0,22.684
2024-04-02,21.0,23.453
2024-04-03,25.0,24.505
2024-04-04,22.0,23.715
2024-04-05,29.0,25.58
2024-04-06,29.0,25.58
2024-04-07,14.0,21.735
2024-04-08,24.0,24.241
2024-04-09,31.0,26.174
