timestamps,actual,predict
2023-09-14,29.0,29.0
2023-09-15,37.0,37.0
2023-09-16,89.0,89.0
2023-09-17,16.0,16.0
2023-09-18,43.0,43.0
2023-09-19,34.0,34.0
2023-09-20,21.0,21.0
2023-09-21,38.0,38.0
2023-09-22,32.0,32.0
2023-09-23,37.0,37.0
2023-09-24,16.0,16.0
2023-09-25,18.0,18.0
2023-09-26,27.0,27.0
2023-09-27,44.0,44.0
2023-09-28,82.0,82.0
2023-09-29,22.0,22.0
2023-09-30,23.0,23.0
2023-10-01,27.0,27.0
2023-10-02,23.0,23.0
2023-10-03,70.0,70.0
2023-10-04,29.0,29.0
2023-10-05,28.0,28.0
2023-10-06,26.0,26.0
2023-10-07,26.0,26.0
2023-10-08,19.0,19.0
2023-10-09,29.0,29.0
2023-10-10,22.0,22.0
2023-10-11,45.0,45.0
2023-10-12,34.0,34.0
2023-10-13,176.0,176.0
2023-10-14,20.0,20.0
2023-10-15,37.0,37.0
2023-10-16,35.0,35.0
2023-10-17,28.0,28.0
2023-10-18,37.0,37.0
2023-10-19,20.0,20.0
2023-10-20,28.0,28.0
2023-10-21,30.0,30.0
2023-10-22,29.0,29.0
2023-10-23,38.0,38.0
2023-10-24,31.0,31.0
2023-10-25,34.0,34.0
2023-10-26,24.0,24.0
2023-10-27,27.0,27.0
2023-10-28,38.0,38.0
2023-10-29,25.0,25.0
2023-10-30,16.0,16.0
2023-10-31,25.0,25.0
2023-11-01,51.0,51.0
2023-11-02,28.0,28.0
2023-11-03,32.0,32.0
2023-11-04,33.0,33.0
2023-11-05,12.0,12.0
2023-11-06,26.0,26.0
2023-11-07,26.0,26.0
2023-11-08,28.0,28.0
2023-11-09,24.0,25.93
2023-11-10,24.0,25.93
2023-11-11,25.0,26.362
2023-11-12,26.0,26.809
2023-11-13,18.0,24.204
2023-11-14,24.0,25.93
2023-11-15,42.0,35.022
2023-11-16,18.0,24.204
2023-11-17,23.0,25.574
2023-11-18,47.0,38.086
2023-11-19,13.0,22.887
2023-11-20,35.0,31.056
2023-11-21,28.0,27.707
2023-11-22,32.0,29.571
2023-11-23,33.0,30.051
2023-11-24,72.0,58.734
2023-11-25,288.0,337.162
2023-11-26,26.0,26.809
2023-11-27,25.0,26.362
2023-11-28,23.0,25.574
2023-11-29,24.0,25.93
2023-11-30,19.0,24.472
2023-12-01,21.0,25.012
2023-12-02,18.0,24.204
2023-12-03,21.0,25.012
2023-12-04,27.0,27.257
2023-12-05,29.0,28.159
2023-12-06,27.0,27.257
